Wow Crust is not good.,0
Not tasty and the texture was just nasty.,0
Now I am getting angry and I want my damn pho.,0
Honeslty it didn't taste THAT fresh.,0
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0
Would not go back.,0
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0
I was disgusted because I was pretty sure that was human hair.,0
I was shocked because no signs indicate cash only.,0
Waitress was a little slow in service.,0
did not like at all.,0
The Burrittos Blah!,0
The worst was the salmon sashimi.,0
This was like the final blow!,0
Service sucks.,0
The turkey and roast beef were bland.,0
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0
say bye bye to your tip lady!,0
We'll never go again.,0
Wow... Loved this place.,1
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
The selection on the menu was great and so were the prices.,1
The fries were great too.,1
A great touch.,1
Service was very prompt.,1
Highly recommended.,1
Service is also cute.,1
Best tacos in town by far!!,1
So they performed.,1
That's right....the red velvet cake.....ohhh this stuff is so good.,1
I found this place by accident and I could not be happier.,1
Each day of the week they have a different deal and it's all so delicious!,1
Ample portions and good prices.,1
My first visit to Hiro was a delight!,1
Their chow mein is so good!,1
The portion was huge!,1
This place receives stars for their APPETIZERS!!!,1
The cocktails are all handmade and delicious.,1
"My drink was never empty, and he made some really great menu suggestions.",1
